annotator,pairing,metric,original_score,human_score
sarah_anno,high_behavior_low_fluency,Behavior score,5,3.0
sarah_anno,high_behavior_low_fluency,Behavior score,5,5.0
sarah_anno,high_behavior_low_fluency,Behavior score,5,3.0
sarah_anno,unknown,Behavior score,0,0.0
sarah_anno,unknown,Behavior score,0,0.0
sarah_anno,unknown,Behavior score,1,5.0
sarah_anno,unknown,Behavior score,1,0.0
sarah_anno,unknown,Behavior score,1,0.0
sarah_anno,high_behavior_low_fluency,Behavior score,5,2.0
sarah_anno,high_behavior_low_fluency,Behavior score,5,5.0
sarah_anno,unknown,Behavior score,0,0.0
sarah_anno,unknown,Behavior score,0,5.0
sarah_anno,unknown,Behavior score,1,0.0
sarah_anno,low_behavior_high_fluency,Behavior score,-5,0.0
sarah_anno,unknown,Behavior score,0,0.0
sarah_anno,unknown,Behavior score,0,0.0
sarah_anno,unknown,Behavior score,0,0.0
sarah_anno,unknown,Behavior score,0,0.0
sarah_anno,unknown,Behavior score,1,5.0
sarah_anno,unknown,Behavior score,0,0.0
sarah_anno,unknown,Behavior score,1,5.0
sarah_anno,unknown,Behavior score,0,0.0
sarah_anno,high_behavior_high_fluency,Behavior score,5,5.0
sarah_anno,unknown,Behavior score,4,5.0
sarah_anno,unknown,Behavior score,1,5.0
sarah_anno,unknown,Behavior score,1,0.0
sarah_anno,unknown,Behavior score,1,0.0
sarah_anno,unknown,Behavior score,0,0.0
sarah_anno,unknown,Behavior score,0,0.0
sarah_anno,high_behavior_high_fluency,Behavior score,5,5.0
sarah_anno,unknown,Behavior score,1,0.0
sarah_anno,high_behavior_high_fluency,Behavior score,5,5.0
sarah_anno,unknown,Behavior score,0,0.0
sarah_anno,unknown,Behavior score,0,0.0
sarah_anno,high_behavior_high_fluency,Behavior score,5,5.0
sarah_anno,high_behavior_high_fluency,Behavior score,5,5.0
sarah_anno,unknown,Behavior score,0,0.0
sarah_anno,unknown,Behavior score,0,0.0
sarah_anno,high_behavior_high_fluency,Behavior score,5,5.0
sarah_anno,high_behavior_high_fluency,Behavior score,5,5.0
sarah_anno,high_behavior_high_fluency,Behavior score,5,5.0
sarah_anno,low_behavior_high_fluency,Behavior score,-5,-5.0
